ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2LecturePE,CouncilPath,Notes
2010,1,1,"Council  Regulation (EU) No 23/2010 of 12 January 2010 amending the representative prices and additional import duties for certain products in the sugar sector fixed by Regulation (EC) No 877/2009 for the 2009/10 marketing year",V,,,32010R0023,2009,553,COM,NULL,CS,NULL,,,,"Propos* is missing on Celex document"
2010,2,1,"Directive of the European Parliament and of the Council on the coordination
of certain provisions laid down by law, regulation or administrative action in
Member States concerning the provision of audiovisual media services
(Audiovisual Media Services Directive) (codified version)",V,,,32010L0013,2009,185,COM,2009,COD,56,,,,
2010,2,2,"Council Directive 2010/12/EU of 16 February 2010 amending Directives 92/79/EEC, 92/80/EEC and 95/59/EC on the structure and rates of excise duty applied on manufactured tobacco and Directive 2008/118/EC",U,,,32010L0012,2008,459,COM,2008,CNS,150,,,,
2010,3,1,"Decision No 283/2010/EU of the European Parliament and of the Council of 25 March 2010 establishing a European Progress Microfinance Facility for employment and social inclusion",V,,DE,32010D0283,2009,333,COM,2009,COD,96,,,,"ŒIL link on Pre-lex document does not work. There is no ŒIL document for this act. The link on ŒIL document does not work"
2010,3,2,"Decision of the European Parliament and the Council amending Decision
No 1672/2006/EC establishing a Community Programme for Employment
and Social Solidarity - Progress",V,,DE,32010D0284,2009,340,COM,2009,COD,91,,,,
2010,3,3,"Council Directive 2010/23/EU of 16 March 2010 amending Directive 2006/112/EC on the common system of value added tax, as regards an optional and temporary application of the reverse charge mechanism in relation to supplies of certain services susceptible to fraud",U,,,32010L0023,2009,511,COM,2009,CNS,139,,,,
2010,3,4,"Council Directive 2010/24/EU of 16 March 2010 concerning mutual assistance for the recovery of claims relating to taxes, duties and other measures",U,,,32010L0024,2009,28,COM,2009,CNS,7,,,,
2010,3,5,"Regulation (EU) No 265/2010 of the European Parliament and of the Council of 25 March 2010 amending the Convention Implementing the Schengen Agreement and Regulation (EC) No 562/2006 as regards movement of persons with a long-stay visa",V,"HU, PL, EL",,32010R0265,2009,91,COM,2009,COD,28,,,,
2010,4,1,"Regulation (EU) No 437/2010 of the European Parliament and of the Council of 19 May 2010 amending Regulation (EC) No 1080/2006 on the European Regional Development Fund as regards the eligibility of housing interventions in favour of marginalised communities",V,HU,DE,32010R0437,2009,382,COM,2009,COD,105,,,,"NoUniqueChrono no Celex document is wrong (102). 105, as indicated on ŒIL and Pre-lex documents is correct"
2010,4,2,"Regulation (EU) No 438/2010 of the European Parliament and of the Council of 19 May 2010 amending Regulation (EC) No 998/2003 on the animal health requirements applicable to the non-commercial movement of pet animals",V,,,32010R0438,2009,268,COM,2009,COD,77,,,,
2010,4,3,"Decision No 477/2010/EU of the European Parliament and of the Council of 19 May 2010 repealing Council Decision 79/542/EEC drawing up a list of third countries or parts of third countries, and laying down animal and public health and veterinary certification conditions, for importation into the Community of certain live animals and their fresh meat",V,,,32010D0477,2009,516,COM,2009,COD,146,,,,
