DOSSIER_ID,REFERENCE_CHAR,REFERENCE_ANNEE,REFERENCE_NUMERO,REFERENCE_SPLIT,PROCEDURE_COTE,ANNEE_COTE,NUMERO_COTE,Error,VAL_CHP_SUP_01,VAL_CHP_SUP_03,TYPE_EVENEMENT_ID,TR_TYPE_EVENEMENT_DNM,TR_TYPE_EVENEMENT_ABR
115412,COM,1986,546,2,,,,,,31986R4025,1260,"Adoption by Council","Formal adoption by Council"
115413,COM,1986,547,,SYN,,67,,,31988D0028,1260,"Adoption by Council","Formal adoption by Council"
115414,COM,1986,550,,SYN,,69,,,31987D0590,1260,"Adoption by Council","Formal adoption by Council"
115418,COM,1986,554,,,,,,,31987D0177,1260,"Adoption by Council","Formal adoption by Council"
115420,COM,1986,555,2,,,,,,31987D0488,1260,"Adoption by Council","Formal adoption by Council"
115421,COM,1986,555,3,,,,,,31987L0487,1260,"Adoption by Council","Formal adoption by Council"
115422,COM,1986,555,4,,,,,,31987L0486,1260,"Adoption by Council","Formal adoption by Council"
115423,COM,1986,555,5,,,,,,31987D0231,1295,"Partial adoption by Council","Partial adoption by Council"
115423,COM,1986,555,5,,,,,,31987L0489,1260,"Adoption by Council","Formal adoption by Council"
115425,COM,1986,557,,,,,,,31987D0058,1260,"Adoption by Council","Formal adoption by Council"
192777,COM,2005,151,,CNS,2005,58,,,32007L0033,1260,"Adoption by Council","Formal adoption by Council"
198870,COM,2009,658,,,,,,,32010D0252,1260,"Adoption by Council","Formal adoption by Council"
187534,COM,2003,777,3,COD,2003,305,,,32004R0788,1815,"Signature by EP and Council","Signature by EP and Council"
193767,COM,2005,714,,CNS,2006,2,,,32007R0676,1260,"Adoption by Council","Formal adoption by Council"
194083,COM,2006,154,,CNS,2006,56,,,32007R0708,1260,"Adoption by Council","Formal adoption by Council"
21191,SEC,1996,1017,,,,,,31996B0647,,1810,"Signature of budget by EP","Signature of budget by EP"
192715,COM,2005,115,2,COD,2005,42,,,32007D1350,1815,"Signature by EP and Council","Signature by EP and Council"
192715,COM,2005,115,2,COD,2005,42,,32006D1926,,101902,"Partial signature by EP and Council","Partial signature by EP and Council"
116113,COM,1985,3,,,,,,,31985R0228,1260,"Adoption by Council","Formal adoption by Council"
116114,COM,1985,4,,,,,,,31985R0059,1260,"Adoption by Council","Formal adoption by Council"
116115,COM,1985,5,,,,,,,31985R0060,1260,"Adoption by Council","Formal adoption by Council"
116116,COM,1985,6,,,,,,,31985D0124,1260,"Adoption by Council","Formal adoption by Council"
192249,COM,2004,805,,ACC,2004,273,,22005D0203,,101214,"Joint Council decision","Joint Council decision"
193647,COM,2005,644,,,,,,,32006R0033,1260,"Adoption by Council","Formal adoption by Council"
193734,COM,2005,688,,,,,,,32006R0085,1260,"Adoption by Council","Formal adoption by Council"
168540,COM,2001,573,,COD,2001,241,,,32006R0561,1815,"Signature by EP and Council","Signature by EP and Council"
170551,COM,2001,784,,COD,2001,305,,,32004R0261,1815,"Signature by EP and Council","Signature by EP and Council"
181092,COM,2003,92,,COD,2003,37,,,32005L0035,1815,"Signature by EP and Council","Signature by EP and Council"
194574,COM,2006,457,,,,,,,32006R1582,1260,"Adoption by Council","Formal adoption by Council"
152859,SEC,1999,1648,,,,,,32000B0260,,1810,"Signature of budget by EP","Signature of budget by EP"
161739,SEC,2001,148,,,,,,32001B0603,,1810,"Signature of budget by EP","Signature of budget by EP"
163043,SEC,2001,378,,,,,,32001B0604,,1810,"Signature of budget by EP","Signature of budget by EP"
164240,SEC,2001,663,,,,,,32001B0874,,1810,"Signature of budget by EP","Signature of budget by EP"
165006,SEC,2001,793,,,,,,32002B0013,,1810,"Signature of budget by EP","Signature of budget by EP"
172022,SEC,2002,222,,,,,,32002B0594,,1810,"Signature of budget by EP","Signature of budget by EP"
174120,SEC,2002,626,,,,,,32002B0662,,1810,"Signature of budget by EP","Signature of budget by EP"
175380,SEC,2002,851,,,,,,32002B0846,,1810,"Signature of budget by EP","Signature of budget by EP"
177890,SEC,2002,1221,,,,,,32002B0955,,1810,"Signature of budget by EP","Signature of budget by EP"
180972,SEC,2003,230,,,,,,32003B0754,,1810,"Signature of budget by EP","Signature of budget by EP"
181790,SEC,2003,423,,,,,,32003B0657,,1810,"Signature of budget by EP","Signature of budget by EP"
183033,SEC,2003,626,,,,,,32003B0755,,1810,"Signature of budget by EP","Signature of budget by EP"
184632,SEC,2003,886,,,,,,32003B0800,,1810,"Signature of budget by EP","Signature of budget by EP"
185572,SEC,2003,1059,,,,,,32003B0053,,1810,"Signature of budget by EP","Signature of budget by EP"
116807,COM,1985,612,,,,,,,31985L0582,1260,"Adoption by Council","Formal adoption by Council"
186373,SEC,2003,1111,,,,,,32003B0054,,1810,"Signature of budget by EP","Signature of budget by EP"
188732,SEC,2004,104,,,,,,32004B0347,,1810,"Signature of budget by EP","Signature of budget by EP"
188751,SEC,2004,105,,,,,,32004B0346,,1810,"Signature of budget by EP","Signature of budget by EP"
189611,SEC,2004,272,,,,,,32004B0348,,1810,"Signature of budget by EP","Signature of budget by EP"
11813,COM,1995,432,1,,,,,,31995E0378,1260,"Adoption by Council","Formal adoption by Council"
189612,SEC,2004,269,,,,,,32004B0377,,1810,"Signature of budget by EP","Signature of budget by EP"
189614,SEC,2004,277,,,,,,32004B0356,,1810,"Signature of budget by EP","Signature of budget by EP"
189758,SEC,2004,321,,,,,,32004B0378,,1810,"Signature of budget by EP","Signature of budget by EP"
190995,SEC,2004,593,,,,,,32004B0886,,1810,"Signature of budget by EP","Signature of budget by EP"
191170,SEC,2004,675,,,,,,32004B0887,,1810,"Signature of budget by EP","Signature of budget by EP"
191520,SEC,2004,910,,,,,,32004B0888,,1810,"Signature of budget by EP","Signature of budget by EP"
191584,SEC,2004,1018,,,,,,32005B0243,,1810,"Signature of budget by EP","Signature of budget by EP"
192490,COM,2005,25,,,,,,32005B0332,,1810,"Signature of budget by EP","Signature of budget by EP"
192674,SEC,2005,421,,,,,,32005B0658,,1810,"Signature of budget by EP","Signature of budget by EP"
192822,SEC,2005,548,2,,,,,32005B0700,,1810,"Signature of budget by EP","Signature of budget by EP"
192896,SEC,2005,650,,,,,,32005B0699,,1810,"Signature of budget by EP","Signature of budget by EP"
192962,SEC,2005,758,,,,,,32005B0701,,1810,"Signature of budget by EP","Signature of budget by EP"
193266,COM,2005,419,,,,,,32006B0003,,1810,"Signature of budget by EP","Signature of budget by EP"
193270,SEC,2005,1083,,,,,,32006B0004,,1810,"Signature of budget by EP","Signature of budget by EP"
193380,SEC,2005,1226,,,,,,32006B0005,,1810,"Signature of budget by EP","Signature of budget by EP"
193991,SEC,2006,325,,,,,,32006B0381,,1810,"Signature of budget by EP","Signature of budget by EP"
194239,SEC,2006,633,,,,,,32006B0763,,1810,"Signature of budget by EP","Signature of budget by EP"
194512,SEC,2006,996,,,,,,32006B0870,,1810,"Signature of budget by EP","Signature of budget by EP"
194895,SEC,2006,1410,,,,,,32006B0995,,1810,"Signature of budget by EP","Signature of budget by EP"
103262,COM,1992,333,,SYN,,431,,,31993L0031,1260,"Adoption by Council","Formal adoption by Council"
103263,COM,1992,334,,SYN,,432,,,31993L0033,1260,"Adoption by Council","Formal adoption by Council"
103264,COM,1992,335,,SYN,,433,,,31993L0094,1260,"Adoption by Council","Formal adoption by Council"
103265,COM,1992,336,,SYN,,434,,,31993L0034,1260,"Adoption by Council","Formal adoption by Council"
103227,COM,1992,296,1,,,,,,31992D0395,1260,"Adoption by Council","Formal adoption by Council"
123401,COM,1980,384,,,,,,,31981L0527,1260,"Adoption by Council","Formal adoption by Council"
123414,COM,1980,395,2,,,,,,31980R3322,1260,"Adoption by Council","Formal adoption by Council"
123415,COM,1980,395,3,,,,,,31980R3320,1260,"Adoption by Council","Formal adoption by Council"
123416,COM,1980,395,4,,,,,,41980D1185,1260,"Adoption by Council","Formal adoption by Council"
123421,COM,1980,400,1,,,,,,31983L0189,1260,"Adoption by Council","Formal adoption by Council"
116286,COM,1985,117,,,,,,,31985R1248,1260,"Adoption by Council","Formal adoption by Council"
116289,COM,1985,120,,,,,,,31985R1249,1260,"Adoption by Council","Formal adoption by Council"
116292,COM,1985,123,2,,,,,,31986D0085,1260,"Adoption by Council","Formal adoption by Council"
146939,COM,1999,337,,COD,1999,153,,,32001R0045,1815,"Signature by EP and Council","Signature by EP and Council"
106394,COM,1989,362,3,,,,,,31991R2230,1260,"Adoption by Council","Formal adoption by Council"
106397,COM,1989,365,,,,,,,31989R3210,1260,"Adoption by Council","Formal adoption by Council"
106398,COM,1989,366,,,,,,,31989R3211,1260,"Adoption by Council","Formal adoption by Council"
106399,COM,1989,367,,,,,,,31989R3708,1260,"Adoption by Council","Formal adoption by Council"
106400,COM,1989,368,,,,,,,31989R2279,1260,"Adoption by Council","Formal adoption by Council"
106401,COM,1989,370,,,,,,,31992R1248,1260,"Adoption by Council","Formal adoption by Council"
106403,COM,1989,372,,SYN,,209,,,31992L0051,1260,"Adoption by Council","Formal adoption by Council"
106405,COM,1989,373,2,CNS,1989,1029,,,31990R2342,1260,"Adoption by Council","Formal adoption by Council"
106406,COM,1989,373,3,CNS,1989,1030,,,31990R2343,1260,"Adoption by Council","Formal adoption by Council"
106408,COM,1989,375,,,,,,,31989R3606,1260,"Adoption by Council","Formal adoption by Council"
106409,COM,1989,377,,SYN,,210,,,31991L0226,1260,"Adoption by Council","Formal adoption by Council"
106410,COM,1989,378,1,,,,,,31989R3677,1260,"Adoption by Council","Formal adoption by Council"
106412,COM,1989,379,1,,,,,,31990D0218,1260,"Adoption by Council","Formal adoption by Council"
106414,COM,1989,381,,,,,,,31989R2370,1260,"Adoption by Council","Formal adoption by Council"
116308,COM,1985,138,,,,,,,31985D0254,1260,"Adoption by Council","Formal adoption by Council"
116313,COM,1985,142,2,,,,,,31985D0366,1260,"Adoption by Council","Formal adoption by Council"
116314,COM,1985,142,3,,,,,,31985D0367,1260,"Adoption by Council","Formal adoption by Council"
116316,COM,1985,144,,,,,,,31985R1034,1260,"Adoption by Council","Formal adoption by Council"
116318,COM,1985,146,,,,,,,31985R1979,1260,"Adoption by Council","Formal adoption by Council"
116319,COM,1985,147,,,,,,,31986L0364,1260,"Adoption by Council","Formal adoption by Council"
126094,COM,1978,158,2,,,,,,31978D0471,1260,"Adoption by Council","Formal adoption by Council"
20272,COM,1997,45,,,,,,,31997R0293,1260,"Adoption by Council","Formal adoption by Council"
20276,COM,1997,56,,ACC,1997,40,,,31997D0784,1260,"Adoption by Council","Formal adoption by Council"
20278,COM,1997,58,,ACC,1997,41,,,31997R0552,1260,"Adoption by Council","Formal adoption by Council"
20279,COM,1997,59,,,,,,,31997R0724,1260,"Adoption by Council","Formal adoption by Council"
20280,COM,1997,62,,,,,,,31997R0423,1260,"Adoption by Council","Formal adoption by Council"
20285,COM,1997,83,,CNS,1997,63,,,31997R0922,1260,"Adoption by Council","Formal adoption by Council"
127780,COM,1977,660,,,,,,,31979L0196,1260,"Adoption by Council","Formal adoption by Council"
127801,COM,1977,681,,,,,,,31978R0592,1260,"Adoption by Council","Formal adoption by Council"
127813,COM,1977,686,,,,,,,31979R0954,1260,"Adoption by Council","Formal adoption by Council"
127820,COM,1977,692,1,,,,,,31978R0592,1260,"Adoption by Council","Formal adoption by Council"
127821,COM,1977,692,2,,,,,,31978R0590,1260,"Adoption by Council","Formal adoption by Council"
127830,COM,1977,703,1,,,,,,31978R1125,1260,"Adoption by Council","Formal adoption by Council"
127831,COM,1977,703,2,,,,,,31978R1126,1260,"Adoption by Council","Formal adoption by Council"
159519,SEC,2000,1728,,,,,,22001D0221(03),,100155,"Joint Committee decision","Joint Committee decision"
193409,COM,2005,492,,,,,,22006D0654,,100154,"Association Council decision","Association Council decision"
153551,COM,1999,664,,,,,,,31999R2772,1260,"Adoption by Council","Formal adoption by Council"
153555,COM,1999,668,,,,,,,32000R0173,1260,"Adoption by Council","Formal adoption by Council"
153557,COM,1999,671,,,,,,,32000D0266,1260,"Adoption by Council","Formal adoption by Council"
20617,COM,1996,85,,ACC,1996,54,,,31996D0641,1260,"Adoption by Council","Formal adoption by Council"
20619,COM,1996,87,,,,,,,31996R1256,1260,"Adoption by Council","Formal adoption by Council"
11348,COM,1993,351,,COD,1993,465,,,31998L0008,1815,"Signature by EP and Council","Signature by EP and Council"
11638,COM,1995,619,2,SYN,1995,333,,,31999L0022,1260,"Adoption by Council","Formal adoption by Council"
100982,COM,1997,421,,CNS,1997,218,,,31998R0192,1260,"Adoption by Council","Formal adoption by Council"
151796,COM,1982,239,,,,,,,31982L0727,1260,"Adoption by Council","Formal adoption by Council"
151798,COM,1982,242,,,,,,,31983R0031,1260,"Adoption by Council","Formal adoption by Council"
193507,COM,2005,560,,ACC,2005,222,,,32005D0067,1260,"Adoption by Council","Formal adoption by Council"
193584,COM,2005,601,,ACC,2005,230,,,32005D0953,1260,"Adoption by Council","Formal adoption by Council"
156340,COM,2000,285,2,COD,2000,119,,,32002D1786,1815,"Signature by EP and Council","Signature by EP and Council"
160899,COM,2000,840,,COD,2000,336,,,32002L0088,1815,"Signature by EP and Council","Signature by EP and Council"
166859,COM,2001,425,,COD,2001,173,,,32003R1829,1815,"Signature by EP and Council","Signature by EP and Council"
167160,COM,2001,182,,COD,2001,180,,,32003R1830,1815,"Signature by EP and Council","Signature by EP and Council"
167259,COM,2001,490,,COD,2001,197,,,32003D1608,1815,"Signature by EP and Council","Signature by EP and Council"
167539,COM,2001,500,,COD,2001,202,,,32002R2321,1815,"Signature by EP and Council","Signature by EP and Council"
168179,COM,2001,540,,AVC,2001,242,,,32002D0917,1260,"Adoption by Council","Formal adoption by Council"
169743,COM,2001,679,,CNS,2001,280,,,32002D0738,1260,"Adoption by Council","Formal adoption by Council"
169842,COM,2001,703,,COD,2001,277,,,32003L0065,1815,"Signature by EP and Council","Signature by EP and Council"
169843,COM,2001,704,,CNS,2001,278,,,32003D0584,1260,"Adoption by Council","Formal adoption by Council"
169940,COM,2001,545,,COD,2001,226,,,32004R0807,1815,"Signature by EP and Council","Signature by EP and Council"
170021,COM,2001,725,,CNS,2001,327,,,32002R2322,1260,"Adoption by Council","Formal adoption by Council"
170139,COM,2001,624,,COD,2001,257,,,32003L0105,1815,"Signature by EP and Council","Signature by EP and Council"
170282,COM,2001,547,2,COD,2001,265,,,32003L0030,1815,"Signature by EP and Council","Signature by EP and Council"
171239,COM,2002,44,,CNS,2002,35,,,32003D0507,1260,"Adoption by Council","Formal adoption by Council"
173484,COM,2002,230,,CNS,2002,106,,,32003D0520,1260,"Adoption by Council","Formal adoption by Council"
173520,COM,2002,232,,CNS,2002,105,,,32002L0068,1260,"Adoption by Council","Formal adoption by Council"
192897,COM,2005,198,,,,,,22006D0879,,101154,"Decision of the ACP-EC Committee of Ambassadors","Decision ACP-EC Commit. Ambas."
193189,COM,2005,349,1,,,,,,32006D0716,1260,"Adoption by Council","Formal adoption by Council"
193361,COM,2005,464,,ACC,2005,192,,22006D0462,,100154,"Association Council decision","Association Council decision"
193764,COM,2005,717,,ACC,2006,1,,22006D0792,,100154,"Association Council decision","Association Council decision"
193764,COM,2005,717,,ACC,2006,1,,,32006D0180,1260,"Adoption by Council","Formal adoption by Council"
188211,COM,2004,19,,COD,2004,2,,,32006L0044,1815,"Signature by EP and Council","Signature by EP and Council"
188990,COM,2004,96,,COD,2004,25,,,32005D0456,1815,"Signature by EP and Council","Signature by EP and Council"
114237,COM,1987,498,,,,,,,31987R3461,1260,"Adoption by Council","Formal adoption by Council"
114238,COM,1987,499,,,,,,,31987R3759,1260,"Adoption by Council","Formal adoption by Council"
114240,COM,1987,500,2,,,,,,31987D0609,1260,"Adoption by Council","Formal adoption by Council"
114241,COM,1987,501,,SYN,,103,,,31989L0396,1260,"Adoption by Council","Formal adoption by Council"
101262,COM,1994,263,,,,,,,31994R1777,1260,"Adoption by Council","Formal adoption by Council"
20979,COM,1996,625,,,,,,,31997R0405,1260,"Adoption by Council","Formal adoption by Council"
20980,COM,1996,629,,,,,,,31997R0154,1260,"Adoption by Council","Formal adoption by Council"
20983,COM,1996,632,,ACC,1996,297,,,31997R0340,1260,"Adoption by Council","Formal adoption by Council"
101052,COM,1994,10,10,,,,,,31994R1874,1260,"Adoption by Council","Formal adoption by Council"
101055,COM,1994,10,14,CNS,1994,45,,,31994R1876,1260,"Adoption by Council","Formal adoption by Council"
101056,COM,1994,10,15,,,,,,31994R1877,1260,"Adoption by Council","Formal adoption by Council"
101057,COM,1994,10,17,CNS,1994,47,,,31994R1879,1260,"Adoption by Council","Formal adoption by Council"
101059,COM,1994,10,20,,,,,,31994R0720,1260,"Adoption by Council","Formal adoption by Council"
101060,COM,1994,10,22,CNS,1994,51,,,31994R1881,1260,"Adoption by Council","Formal adoption by Council"
101062,COM,1994,10,24,,,,,,31994R0719,1260,"Adoption by Council","Formal adoption by Council"
101063,COM,1994,10,26,,,,,,31994R1885,1260,"Adoption by Council","Formal adoption by Council"
101064,COM,1994,10,27,CNS,1994,53,,,31994R1886,1260,"Adoption by Council","Formal adoption by Council"
101065,COM,1994,10,28,CNS,1994,54,,,31994R1887,1260,"Adoption by Council","Formal adoption by Council"
101066,COM,1994,10,29,CNS,1994,55,,,31994R1888,1260,"Adoption by Council","Formal adoption by Council"
