ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,10,5,"Council Decision extending the period of application of Decision 82/530/EEC authorising the United Kingdom to permit the Isle of Man authorities to apply a system of special import licences to sheepmeat and beef and veal",V,,,"32000D0665 ",2000,447,COM,NULL,CS,NULL,,,,,
2000,10,6,"Council Regulation amending Regulation (EEC) No 2358/71 on the common organisation of the market in seeds",U,,,32000R2371,2000,541,COM,NULL,CS,NULL,,,,,
2000,10,7,"Directive of the European Parliament and of the Council relating to limit values for benzene and carbon monoxide in ambient air",V,,,32000L0069,1998,591,COM,1998,COD,333,,,,,
2000,10,8,"Directive of the European Parliament and of the Council amending Council Directive 93/42/EEC concerning medical devices as regards medical devices incorporating stable derivatives of human blood or human plasma (24.10.2000)",V,,,"32000L0070 ",1995,130-1,COM,1995,COD,13,Y,Y,,,
2000,11,1,"Council Decision amending Decision 2000/24/EC so as to extend the Community guarantee granted to the European Investment Bank to cover loans for projects in Croatia",U,,,"32000D0688 ",2000,289,COM,2000,CNS,122,,,,,
2000,11,2,"Council Regulation opening and providing for the administration of autonomous Community tariff quotas for certain fishery products",V,,,"32000R2448 ",2000,404,COM,NULL,CS,NULL,,,,,
2000,11,3,"Council Regulation amending Regulation (EC) No 2742/1999 fixing for 2000 the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks, applicable in Community waters and, for Community vessels, in waters where limitations in catch are required",V,,,"32000R2517 ",2000,581,COM,NULL,CS,NULL,,,,,
2000,11,4,"Council Decision authorising France to apply an exemption from excise duty for certain mineral oils, when used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",U,,,"32000D0719 ",2000,373,COM,NULL,CS,NULL,,,,,
2000,11,5,"Council Regulation maintaining a freeze of funds in relation to Mr. Milosevic and those persons associated with him and repealing Regulations (EC) Nos 1294/1999 and 607/2000 and Article 2 of Regulation (EC) No 926/98",V,,,"32000R2488 ",2000,676,COM,NULL,CS,NULL,,,,,
2000,11,6,"Council Regulation amending Annex I to Regulation (EEC) No 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff",V,,,"32000R2559 ",2000,557,COM,2000,ACC,229,,,,,
2000,11,7,"Council Regulation amending Regulation (EC) No 2742/1999 fixing, for 2000, the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks applicable in Community waters and, for Community vessels, in waters subject to catch limits",V,,,32000R2579,2000,514,COM,NULL,CS,NULL,,,,,
2000,11,8,"Council Regulation amending Regulation (EC) No 1626/94 laying down certain technical measures for the conservation of marine resources in the Mediterranean",U,,,"32000R2550 ",2000,425,COM,NULL,CS,NULL,,,,,
2000,11,9,"Council Regulation establishing additional technical measures for the recovery of the stock of cod in the Irish Sea (ICES Division VIIa)",V,,FR,32000R2579,2000,190,COM,2000,CNS,71,,,,,
2000,11,10,"Council Regulation amending Regulation (EC) No 2406/96 laying down common marketing standards for certain fishery products",V,,,"32000R2578 ",2000,484,COM,NULL,CS,NULL,,,,,
2000,11,11,"Council Regulation amending Regulation (EC) No 3448/93 laying down the trade arrangements applicable to certain goods resulting from the processing of agricultural products",V,,,"32000R2580 ",1999,717,COM,1999,CNS,284,,,,,
2000,11,12,"Directive of the European Parliament and of the Council amending Council Directive 95/53/EC fixing the principles governing the organisation of official inspections in the field of animal nutrition",V,,,32000L0077,1998,602,COM,1998,COD,301,,,,"Propos* and NoUnique* are missing on Celex document",
2000,11,13,"Directive of the European Parliament and of the Council on the incineration of waste",V,,,"32000L0076 ",1998,558,COM,1998,COD,289,,,,,
2000,11,14,"Council Directive laying down specific provisions for the control and eradication of bluetongue",V,,,"32000L0075 ",1999,368,COM,NULL,CS,NULL,,,,,
2000,11,15,"Council Decision on the grant of funds to the Hellenic Republic in order to compensate partially for the interest paid on European Investment Bank loans for the reconstruction of the region which was devastated by the earthquake of September 1999",U,,,32000D0786,2000,632,COM,2000,CNS,255,,,,,
2000,11,16,"Council Regulation amending Regulation (EC) No 1103/97 on certain provisions relating to the introduction of the euro",U,,,"32000R2595 ",2000,346-3,COM,2000,CNS,134,,,,,
2000,11,17,"Council regulation amending Regulation (EC) No 974/98 on the introduction of the euro",U,,,32000R2596,2000,346-2,COM,2000,CNS,137,,,,,
2000,11,18,"Council Decision authorising the French Republic to apply a measure derogating from Article 11 of the Sixth Directive (77/388/EEC) relating to the common system of value added",U,,,"32000D0746 ",2000,450,COM,NULL,CS,NULL,,,,,
2000,11,19,"Council Decision amending Article 3 of Decision 98/198/EC authorising the United Kingdom to extend application of a measure derogating from Articles 6 and 17 of the Sixth Council Directive (77/388/EEC) on the harmonisation of the laws of the Member States relating to turnover taxes",U,,,32000D0747,2000,589,COM,NULL,CS,NULL,,,,,
2000,11,20,"Council Decision establishing a Community action programme to combat discrimination (2001 – 2006)",U,,,32000D0750,1999,567,COM,1999,CNS,251,,,,,
2000,11,21,"Council Directive establishing a general framework for equal treatment in employment and occupation",U,,,32000L0078,1999,565,COM,1999,CNS,225,,,,,
2000,11,22,"Council Directive concerning the European Agreement on the Organisation of Working Time of Mobile Workers in Civil Aviation concluded by the Association of European Airlines (AEA), the European Transport Workers' Federation (ETF), the European Cockpit Association (ECA), the European Regions Airline Association (ERA) and the International Air Carrier Association (IACA)",U,,,32000L0079,2000,382,COM,NULL,CS,NULL,,,,"NoUniqueType on Pre-lex document is wrong (CNS). Therefore, ŒIL link on Pre-lex document does not work. The right NoUniqueType is on ŒIL document (COS). But since this is an historic procedure, it is recoded here with NULL/CS/NULL",
2000,11,23,"Regulation of the European Parliament and of the Council on the protection of individuals with regard to the processing of personal data by the Community institutions and bodies and on the free movement of such data",U,,,32001R0045,1999,337,COM,1999,COD,153,,,,,
2000,12,1,"Council Decision on the application of the Schengen acquis in Denmark, Finland and Sweden, and in Iceland and Norway",U,,,32000D0777,2000,12741,CONS,NULL,CS,NULL,,,http://register.consilium.europa.eu/pdf/en/00/st12/st12741-ad01re01.en00.pdf,"AdoptionProposOrigine = Transmission Conseil = 2000-11-20. Document indiqu dans le relevé mensuel. ",
2000,12,2,"Proposal for a Council Decision amending
Decision 200/24/EC so as to establish an EIB special action programme in support of the consolidation and intensification of the EC-Turkey customs union",U,,,32000D0788,2000,479,COM,2000,CNS,197,,,,,
2000,12,3,"Council Regulation amending Regulation (EC) No 2200/96 on the common organisation of the market in fruit and vegetables, Regulation (EC) No 2201/96 on the common organisation of the market in processed fruit and vegetables and Regulation (EC) No 2202/96 introducing a Community aid scheme for producers of certain citrus fruits",V,,"DK, NL, SE, UK","32000R2699 ",2000,433,COM,2000,CNS,191,,,,,
2000,12,4,"Council Decision concerning certain protection measures with regard to transmissible spongiform encephalopathies and the feeding of animal protein",V,,"DE, FI","32000D0766 ",2000,820,COM,NULL,CS,NULL,,,,,
2000,12,5,"Decision of the European Parliament and of the Council setting up a Community framework for cooperation in the field of accidental or deliberate marine pollution",V,,,"32000D2850 ",1998,769,COM,1998,COD,350,,,,,
2000,12,6,"Regulation of the European Parliament and of the Council on unbundled access to the local loop",V,,,"32000R2887 ",2000,394,COM,2000,COD,185,,,,,
2000,12,7,"Council Regulation concerning the definition of the concept of ""originating products"" and methods of administrative cooperation in trade between the customs territory of the Community and Ceuta and Melilla",V,,,"32001R0082 ",2000,432,COM,NULL,CS,NULL,,,,,
2000,12,8,"European Parliament and Council Decision on the implementation of a training programme for professionals in the European audiovisual programme industry (MEDIA - Training) (13.12.2000)",V,,,"32001D0163 ",1999,658-2,COM,1999,COD,275,,Y,,,
2000,12,9,"European Parliament and Council Directive amending Council Directive 70/220/EEC concerning measures to be taken against air pollution by emissions from motor vehicles (13.12.2000)",V,,,"32001L0001 ",2000,42,COM,2000,COD,40,,Y,,,
2000,12,10,"European Parliament and Council Regulation on the distribution of permits for heavy goods vehicles travelling in Switzerland (14.12.2000)",V,,,"32000R2888 ",1999,35,COM,1999,COD,22,,Y,,,
2000,12,11,"Council Regulation opening and providing for the administration of autonomous Community tariff quotas for certain fishery products",V,,,"32000R2803 ",2000,503,COM,NULL,CS,NULL,,,,,
2000,12,12,"Council Regulation amending Regulation (EC) No 1255/96 temporarily suspending the autonomous common customs tariff duties on certain industrial and agricultural products",V,,,"32000R2801 ",2000,642,COM,NULL,CS,NULL,,,,,
2000,12,13,"Council Regulation amending Regulation (EC) No 2505/96 opening and providing for the administration of autonomous Community tariff quotas for certain agricultural and industrial products",V,,,32000R2802,2000,694,COM,NULL,CS,NULL,,,,,
2000,12,14,"Council Regulation fixing for the 2001 fishing year the guide prices for the fishey products listed in Annexes I and II and the Community producer price for the fishery products listed in Annex III to Regulation (EC) No 104/2000",V,,,"32000R2764 ",2000,681,COM,NULL,CS,NULL,,,,,
2000,12,15,"Council Regulation amending Regulation (EC) No 2742/1999 fixing for 2000 the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks, applicable in Community waters and, for Community vessels, in waters where limitations in catch are required",V,,,"32000R2765 ",2000,762,COM,NULL,CS,NULL,,,,,
2000,12,16,"Council Regulation extending Regulation (EEC) No 1657/93 temporarily suspending the autonomous Common Customs Tariff duties on certain industrial products intended to equip the free zones of the Azores and Madeira as regards the Madeira free zone",V,,,32000R2789,2000,596,COM,NULL,CS,NULL,,,,,
2000,12,17,"Council Regulation fixing for 2001 the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks, applicable in Community waters and, for Community vessels, in waters where limitations in catch are required",V,"BE, IT",EL,"32000R2848 ",2000,773,COM,NULL,CS,NULL,,,,,
2000,12,18,"Council Decision amending Decision 95/408/EC on the conditions for drawing up, for an interim period, provisional lists of third country establishments from which Member States are authorised to import certain products of animal origin, fishery products or live bivalve molluscs",U,,,"32001D0004 ",2000,532,COM,NULL,CS,NULL,,,,,
2000,12,19,"Council Decision amending Decision 90/424/EEC on expenditure in the veterinary field",V,,,"32001D0012 ",2000,542,COM,2000,CNS,234,,,,,
2000,12,20,"Council Regulation amending Regulation (EEC) No 3493/90 laying down general rules for the grant of premiums to sheepmeat and goatmeat producers",U,,,32000R2825,2000,740,COM,NULL,CS,NULL,,,,,
2000,12,21,"Council Regulation on information and promotion actions for agricultural products on the internal market",V,,,"32000R2826 ",2000,538,COM,2000,CNS,226,,,,,
2000,12,22,"Council Decision on the granting of exceptional national aid by the authorities of the Federal Republic of Germany for the distillation of certain wine sector products",U,,,32000D0808,2000,NULL,EM,NULL,CS,NULL,,,,"AdoptionProposOrigine = Transmission Conseil = 2000-12-01.Recital: Having regard to the request made by the Government of the Federal Republic of Germany on 1 December 2000",
2000,12,23,"Council Decision on the granting of exceptional national aid by the Government of the Italian Republic for the distillation of certain wine sector products",U,,,"
32000D0809 ",2000,NULL,EM,NULL,CS,NULL,,,,"AdoptionProposOrigine = Transmission Conseil = 2000-12-06. Recital: ""Having regard to the request made by the Government of the Italian Republic on 6 December 2000""",
2000,12,24,"Council Decision on the granting of exceptional national aid by the Government of the French Republic for the distillation of certain wine sector products",U,,,"32000D0810 ",2000,NULL,EM,NULL,CS,NULL,,,,"AdoptionProposOrigine = Transmission Conseil =  2000-12-08. Recital: ""Having regard to the request made by the Government of the French Republic on 8 December 2000""",
2000,12,25,"Council Regulation amending Regulation (EEC) No 1907/90 on certain marketing standards for eggs",V,,DE,32001R0005,2000,522,COM,NULL,CS,NULL,,,,,
2000,12,26,"Council Decision establishing a Programme relating to the Community framework strategy on gender equality (2001-2005)",U,,,"32001D0051 ",2000,335-2,COM,2000,CNS,143,,,,,
2000,12,27,"Council Decision on the implementation of a programme to encourage the development, distribution and promotion of European audiovisual works (MEDIA Plus – Development, Distribution and Promotion) (2001-2005)",U,,,32000D0821,1999,658-3,COM,1999,CNS,276,,,,,
2000,12,28,"Directive of the European Parliament and of the Council on summer-time arrangements",V,,,"32000L0084 ",2000,302,COM,2000,COD,140,,,,,
2000,12,29,"Council Decision on a multiannual programme for enterprise and entrepreneurship, and in particular for small and medium-sized enterprises (SMEs) (2001-2005)",U,,,"32000D0819 ",2000,256-2,COM,2000,CNS,107,,,,,
2000,12,30,"Directive of the European Parliament and of the Council amending Council Directive 91/440/EEC on the development of the Community's railways",V,,,"32001L0012 ",1998,480-1,COM,1998,COD,265,,,,,
2000,12,31,"Directive of the European Parliament and of the Council amending Council Directive 95/18/EC on the licensing of railway undertakings",V,,,32001L0013,1998,480-2,COM,1998,COD,266,,,,,
2000,12,32,"Directive of the European Parliament and of the Council on the allocation of railway infrastructure capacity and the levying of charges for the use of railway infrastructure and safety certification",V,,,"32001L0014 ",1998,480-3,COM,1998,COD,267,,,,,
2000,12,33,"Council Decision adopting a Multiannual Community programme to stimulate the development and use of European digital content on the global networks and to promote linguistic diversity in the Information Society",U,,,"32001D0048 ",2000,323,COM,2000,CNS,128,,,,,
2000,12,34,"Regulation of the European Parliament and of the Council regarding the implementation of measures to promote economic and social development in Turkey",V,,EL,32001R0257,1998,600-2,COM,1998,COD,300,Y,,," ProcedureEcrite=Y; AdoptionConseil=2000-12-28. ; There is an error in Prelex document: it indicates that 'Council approval 2nd reading occured on 19 January 2001 but the press release relating to the Council meeting of 19-01-2001 confirms that  Council approved on 28 December 2000 by written procedure, the amendments proposed by the European Parliament on this matter at it second reading in September 2000. (see http://europa.eu/rapid/press-release_PRES-01-18_en.htm?locale=en). See email from the Commission: ""Ayant vérifié sur le site du Parlement européen confirmant que l'approbation s'est faite le 28/12/2000, j'ai modifié la date et donc ce dossier est correcte.
Effectivement, certaine décision se prenant par procédure écrite, il peut paraître dans le Press release de la session du Conseil.""",
