ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,3,12,"Council Decision authorising the Director of Europol to enter into negotiations on agreements with third States and non-EU related bodies",U,,,42000Y0413,1999,13107,CONS,NULL,CS,NULL,,," http://register.consilium.europa.eu/pdf/en/99/st13/st13107.en99.pdf  ","AdoptionProposOrigine = Transmission Conseil = 1999-11-19",
2000,3,13,"Council Decision on the establishment of a Financial Regulation governing the budgetary aspects of the management by the Deputy Secretary-General of the Council, of contracts concluded in his name, on behalf of certain Member States, relating to the installation and the functioning of the communication infrastructure for the Schengen environment, ""SISNET""",U,,,32000D0265,2000,7027,CONS,NULL,CS,NULL,,,"http://register.consilium.europa.eu/pdf/en/00/st07/st07027.en00.pdf. ","AdoptionProposOrigine = Transmission Conseil = 1999-11-19",
2000,3,14,"Council Decision on the improved exchange of information to combat counterfeit travel documents",V,,,32000D0261,1999,2,JAI,1999,CNS,804,,,,,
2000,3,15,"Council Regulation on closer dialogue with the fishing sector and groups affected by the common fisheries policy",V,,DE,32000R0657,1999,382,COM,1999,CNS,163,,,,,
2000,3,16,"Council Regulation opening and providing for the administration of autonomous Community tariff quotas for certain fishery products",V,,,32000R0655,2000,101,COM,NULL,CS,NULL,,,,,
2000,3,17,"Council Directive amending Directive 77/388/EEC on the common system of value added tax – transitional provisions granted to the Republic of Austria and the Portuguese Republic",U,,,"32000L0017 ",1999,703,COM,1999,CNS,272,,,,,
2000,3,18,"Council Decision authorising the Kingdom of the Netherlands to apply a reduced rate of excise duty to certain mineral oils, when used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",V,,,"32000D0266 ",1999,671,COM,NULL,CS,NULL,,,,,
2000,4,1,"Council Decision authorising the Federal Republic of Germany to apply a reduced rate of excise duty to certain mineral oils, when used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",V,,,32000D0283(01),2000,12,COM,NULL,CS,NULL,,,,,
2000,4,2,"Decision of the European Parliament and of the Council establishing the ""Youth"" Community action programme",V,,NL,32000D1031,1998,331,COM,1998,COD,197,,,,,
2000,4,3,"Directive of the European Parliament and of the Council amending Directive 77/780/EEC on the coordination of laws, regulations and administrative provisions relating to the taking up and pursuit of the business of credit institutions
(11.04.2000)",V,,,32000L0028,1998,461-2,COM,1998,COD,253,Y,Y,," Propos* and NoUnique* are missing in Celex document. . There seems to be a mistake in Prelex document: in June 2000, the Council seems to have approved the EP decision relating to the other part of the 'splitted' proposal, not to this part.this proposal.",
2000,4,4,"Decision of the European Parliament and of the Council on the application of aerial-survey and remote-sensing techniques to the agricultural statistics for 1999-2003 (13.04.2000)",V,,,32000D1445,1998,601,COM,1998,COD,296,,Y,,,
2000,4,5,"Directive of the European Parliament and of the Council on action to be taken against the emission of gaseous and
particulate pollutants by engines intended to power agricultural or forestry tractors and amending Council Directive 74/150/EEC (13.04.2000)",V,,,"32000L0025 ",1998,472,COM,1998,COD,247,,Y,,,
2000,4,6,"Directive on the roadside inspection of the roadworthiness of commercial vehicles circulating in the Community",V,,,"32000L0030 ",1998,117,COM,1998,COD,97,,,,,
2000,4,7,"Council Regulation amending Regulation (EC) No 505/96 opening and providing for the administration of autonomous Community tariff quotas for certain agricultural and industrial products",V,,,"32000R0775 ",2000,122,COM,NULL,CS,NULL,,,,,
2000,4,8,"Directive of the European Parliament and of the Council amending Council Directive 64/432/EEC on animal health problems affecting intra–Community trade in bovine animals and swine",V,,,32000L0020,1999,456,COM,1999,COD,217,,,,,
2000,4,9,"Council Regulation amending Regulation (EC) No 1577/96 introducing a specific measure in respect of certain grain legumes",V,,,"32000R0811 ",1999,428,COM,1999,CNS,182,,,,,
2000,4,10,"Council Regulation supplementing the Annex to Commission Regulation (EC) No 1107/96 on the registration of geographical indications and designations of origin under the procedure laid down in Article 17 of Regulation (EEC) No 2081/92",V,"BE, DK, UK",,"32000R0813 ",2000,89,COM,NULL,CS,NULL,,,,,
2000,4,11,"Regulation on information measures relating to the common agricultural policy",V,,DK,"32000R0814 ",1999,536,COM,1999,CNS,209,,,,,
